SUBJECT	GROUP	RESPONSE	TIME
43	3	80.2808	90
43	3	.	100
43	3	.	110
44	3	70.8025	50
44	3	75.2861	60
44	3	78.3901	70
44	3	80.9197	80
44	3	79.6053	90
44	3	80.6226	100
44	3	82.662	110
47	3	66.8431	50
47	3	73	60
47	3	74.6525	70
47	3	77.4661	80
47	3	77.1038	90
47	3	.	100
47	3	.	110
48	3	70.6045	50
48	3	74.9533	60
48	3	78.4092	70
48	3	78.6003	80
48	3	80.7217	90
48	3	82.801	100
48	3	83.006	110
